"id","code","label","description","sacCode","defaultRatePercent","defaultReimbursement","applicability","sortOrder","isSystem","isActive","createdAt","updatedAt"
"cmsk9v1v1000c6x0kjsidvzjy","muc-charges","MUC charges","Minimum usage charge","996812","18.00","false","AIR","190","true","true","2026-08-08 11:10:04.334","2026-08-08 11:10:04.334"
"cmsk9v1zg000d6x0kt9rh6iwq","ocean-freight-charges","Ocean freight charges","O/F","996812","18.00","false","SEA","200","true","true","2026-08-08 11:10:04.492","2026-08-08 11:10:04.492"
"cmsk9v23m000e6x0k30kc8q3g","thc-charges","THC charges","Terminal handling","996812","18.00","false","SEA","210","true","true","2026-08-08 11:10:04.642","2026-08-08 11:10:04.642"
"cmsk9v27v000f6x0k4zolemoz","bl-charges","BL charges","Bill of lading","996812","18.00","false","SEA","220","true","true","2026-08-08 11:10:04.795","2026-08-08 11:10:04.795"
"cmsk9v2h9000g6x0k2wdk2xg2","swbl-charges","SWBL charges","Sea waybill / switch bill of lading","996812","18.00","false","SEA","230","true","true","2026-08-08 11:10:05.133","2026-08-08 11:10:05.133"
"cmsk9v2lj000h6x0klo87efrv","seal-charges","SEAL charges",,"996812","18.00","false","SEA","240","true","true","2026-08-08 11:10:05.287","2026-08-08 11:10:05.287"
"cmsk9v2ps000i6x0kudwj0e1n","container-detention-charges","Container detention charges",,"996812","18.00","false","SEA","250","true","true","2026-08-08 11:10:05.44","2026-08-08 11:10:05.44"
"cmsk9v2u5000j6x0k7ttr6pxa","sea-freight-custom-charges","Sea freight custom charges",,"996812","18.00","false","SEA","260","true","true","2026-08-08 11:10:05.597","2026-08-08 11:10:05.597"
"cmsk9v2yg000k6x0krgndtrol","toll-charges","TOLL charges",,"996812","18.00","false","SEA","270","true","true","2026-08-08 11:10:05.752","2026-08-08 11:10:05.752"
"cmsk9v32s000l6x0k1a0msvqj","pickup-charges","Pick up charges",,"996812","18.00","false","ANY","300","true","true","2026-08-08 11:10:05.908","2026-08-08 11:10:05.908"
"cmsk9v370000m6x0k6k1lnmns","delivery-charges","Delivery charges",,"996812","18.00","false","ANY","310","true","true","2026-08-08 11:10:06.06","2026-08-08 11:10:06.06"
"cmsk9v3bk000n6x0klca4uw01","handling-charges","Handling charges",,"996812","18.00","false","ANY","320","true","true","2026-08-08 11:10:06.224","2026-08-08 11:10:06.224"
"cmsk9v3gh000o6x0kl17uq2zz","loading-unloading-charges","Loading and unloading charges",,"996812","18.00","false","ANY","330","true","true","2026-08-08 11:10:06.401","2026-08-08 11:10:06.401"
"cmsk9v3kr000p6x0k2s5h3jgz","storage-warehousing-charges","Storage and warehousing charges",,"996812","18.00","false","ANY","340","true","true","2026-08-08 11:10:06.555","2026-08-08 11:10:06.555"
"cmsk9v3p2000q6x0k2lk37axm","detention-charges","Detention charges",,"996812","18.00","false","ANY","350","true","true","2026-08-08 11:10:06.71","2026-08-08 11:10:06.71"
"cmsk9v3ta000r6x0ka696lp50","oda-location-charges","ODA location charges","Out of delivery area","996812","18.00","false","ANY","360","true","true","2026-08-08 11:10:06.862","2026-08-08 11:10:06.862"
"cmsk9v3xn000s6x0kc0axlhzj","packing-charges","Packing charges",,"996812","18.00","false","ANY","400","true","true","2026-08-08 11:10:07.019","2026-08-08 11:10:07.019"
"cmsk9v41v000t6x0kry5zah5g","pallet-charges","Pallet charges",,"996812","18.00","false","ANY","410","true","true","2026-08-08 11:10:07.171","2026-08-08 11:10:07.171"
"cmsk9v464000u6x0kfsxxinpv","palletization-origin","Palletisation charges at origin",,"996812","18.00","false","ANY","420","true","true","2026-08-08 11:10:07.324","2026-08-08 11:10:07.324"
"cmsk9v4ac000v6x0kpdrj445v","palletization-destination","Palletisation charges at destination",,"996812","18.00","false","ANY","430","true","true","2026-08-08 11:10:07.476","2026-08-08 11:10:07.476"
"cmsk9v4eo000w6x0kar4w66u7","fumigation-charges","Fumigation charges",,"996812","18.00","false","ANY","440","true","true","2026-08-08 11:10:07.632","2026-08-08 11:10:07.632"
"cmsk9v4lb000x6x0k9oh7nrxq","dg-packing-charges","DG packing charges","Dangerous goods packing","996812","18.00","false","ANY","450","true","true","2026-08-08 11:10:07.871","2026-08-08 11:10:07.871"
"cmsk9v4pi000y6x0kba35qk5j","dg-certification-charges","DG certification charges",,"996812","18.00","false","ANY","460","true","true","2026-08-08 11:10:08.022","2026-08-08 11:10:08.022"
"cmsk9v4tu000z6x0kfnw2fghd","custom-clearance-charges","Custom clearance charges",,"996812","18.00","false","INTERNATIONAL","500","true","true","2026-08-08 11:10:08.178","2026-08-08 11:10:08.178"
"cmsk9v4y200106x0k4641agtk","custom-inspection-charges","Custom inspection charges",,"996812","18.00","false","INTERNATIONAL","510","true","true","2026-08-08 11:10:08.33","2026-08-08 11:10:08.33"
"cmsk9v52900116x0kwlay3qgm","documentation-charges","Documentation charges",,"996812","18.00","false","ANY","520","true","true","2026-08-08 11:10:08.481","2026-08-08 11:10:08.481"
"cmsk9v56n00126x0kopr0pvru","acmes-charges","ACMES charges",,"996812","18.00","false","ANY","530","true","true","2026-08-08 11:10:08.639","2026-08-08 11:10:08.639"
"cmsk9v5ee00136x0ke7mvthxo","oversize-charges","Oversize charges",,"996812","18.00","false","ANY","600","true","true","2026-08-08 11:10:08.918","2026-08-08 11:10:08.918"
"cmsk9v5io00146x0knlvozfua","odc-charges","ODC charges","Over dimensional cargo","996812","18.00","false","ANY","610","true","true","2026-08-08 11:10:09.072","2026-08-08 11:10:09.072"
"cmsk9v5no00156x0k8eotphjv","odd-dimension-charges","Odd dimension charges",,"996812","18.00","false","ANY","620","true","true","2026-08-08 11:10:09.252","2026-08-08 11:10:09.252"
"cmsk9v5rz00166x0k8sxtnkxe","destination-duty-taxes","Destination duty and taxes","Levied at destination, recovered from the customer","996812","0.00","true","INTERNATIONAL","700","true","true","2026-08-08 11:10:09.407","2026-08-08 11:10:09.407"
"cmsk9v5w800176x0ku9t3jjmt","origin-country-taxes","Origin country taxes",,"996812","0.00","true","INTERNATIONAL","710","true","true","2026-08-08 11:10:09.561","2026-08-08 11:10:09.561"
"cmsk9v61e00186x0ku9qjqj1d","reverse-charges","Reverse charges","Recovered on a reverse-charge basis","996812","0.00","true","ANY","720","true","true","2026-08-08 11:10:09.746","2026-08-08 11:10:09.746"
"cmsk9v66u00196x0kc4m96kc9","miscellaneous-charges","Miscellaneous charges",,"996812","18.00","false","ANY","900","true","true","2026-08-08 11:10:09.942","2026-08-08 11:10:09.942"
